"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Cyanobacteriota|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae",0.00581399418600581,0.00119301073709663,0.000869004345021725,4.9000098000196e-05,9.3e-05,0.00550297798808805,0,0,0,0.0185591113546681,0.017092,0.000422999577000423,0.0164899835100165,0,0,0,0,0,0,0,0,0.000148999553001341,0.000323997408020736,0.0404852024260121,0,5.1999844000468e-05,0,0,0.001769,0,0,0,0,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__RF39|f__UBA660",0,0,0.00019000095000475,0,0,0,0.0104939895060105,0.000743994792036456,0.0086979913020087,0,0,0,0.000774999225000775,0.000173000692002768,0.0104420522102611,0,0,0,0,0.0622576225762258,0.0017559912200439,0,0.00439796481628147,0.00015000075000375,0,0,0,0,0,0,0,0,0,0.000396001584006336
"k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae",0,0,0,0,0,0,0.00166199833800166,0.00113699204105571,0.00828299171700828,0,0,0,0,0.00245100980403922,0.00696703483517418,0,0,0,0,0.0380583805838058,0.00220598897005515,0.000348998953003141,0.00315497476020192,0.0102550512752564,0,0,0,0,0.016475,0,0,0,0,0.00658702634810539
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae",0.00345599654400346,0.011950107550968,0.00347301736508683,0.0198590397180794,0.00476,0.0103269586921652,0,0,0,0,0,0,0,0.00492101968407874,0.0151010755053775,0,0,0,0,0,0,0,0.0050109599123207,0.00273501367506838,0.0114539312764123,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__RFN20|f__CAG-288",0,0,0,0.0149540299080598,0.029512,0.0376388494446022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233001165005825,0,0,0,0,0.010013,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae",0.000111999888000112,0,0.00018600093000465,0,0,0.000305998776004896,0.000572999427000573,0.00015999888000784,0.00163299836700163,0.00171201027206163,0.000383,0,0,0.0112840451361805,0.0512602563012815,0.000631998104005688,0.00043500348002784,0.000525998422004734,0,0.0030040300403004,0.000236998815005925,0.0034559896320311,0.00393696850425197,0.00619303096515483,0.000831995008029952,0.00495898512304463,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae",0,0.000147001323011907,0.00190200951004755,0,0.000344,0,0.00203899796100204,0.000972993189047677,0.0038999961000039,0.00500403002418015,0.001243,0.00015999984000016,0,0.00580702322809291,0.010440052200261,0.000247999256002232,0,0.000167999496001512,0,0.014610146101461,0.0020039899800501,0.0284939145182564,0.00285097719218246,0.00155300776503883,0.00100699395803625,0.00015999952000144,0,0.00083499666001336,0,0,0.00554798890402219,0,0.00098000098000098,0
"k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Nanosynbacteraceae",0,0.000149001341012069,0,0,0,0,7.3999926000074e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000817,0.010872956508174,0,0.0604443022215111,0,0.00585599414400586,0.00272700272700273,0
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae",0,6.1000549004941e-05,0,0,0,0,0.00025999974000026,0,0.0161979838020162,0,0,0,0.00229099770900229,0,0.00233901169505847,0,0,0,0,0.0400614006140061,0.00234098829505852,0.00516298451104647,0,0,0.000555996664020016,0.000547998356004932,0,0,0.006803,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae",0.00387199612800387,0.00270102430921878,0.00238101190505952,0.00197100394200788,0.001461,0.00104599581601674,0.00123299876700123,0.00228598399811201,0.00238799761200239,0.00290901745410472,0.00048,0.0064959935040065,0.00137399862600137,0.00146100584402338,0.0019840099200496,0.0012439962680112,0.00188201505612045,0.00155899532301403,0.00482000964001928,0.0026990269902699,0.00031399843000785,0.00471398585804243,0.00362397100823194,0.00134100670503353,0.000926994438033372,0.00361498915503254,0,0,0.001569,0,0,0,0,0.0105500422001688
