"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis",0.0261199738800261,0.0346563119068072,0.0481512407562038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430596555227558,0.0471672358361792,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Acutalibacteraceae|g__CAG-217|s__CAG-217 sp000436335",0.0026019973980026,0.00772106948962541,0.0033520167600838,0.0210390420780842,0.017743,0.0233249067003732,0.00396299603700396,0.000365997438017934,0.0330839669160331,0,0,0,0,0.0164950659802639,0.00768703843519218,0,0,0,0,0.0125951259512595,0,0.00749397751806745,0.0307567539459684,0.0066720333601668,0.00200898794607232,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter saccharivorans",0.00264899735100265,0.000962008658077923,0.00277001385006925,0.011988023976048,0.014239,0.0111469554121784,0.00804699195300805,0.00272798090413367,0.00789099210900789,0,0,0,0.0173299826700173,0.00621402485609942,0.0106850534252671,0.00867597397207808,0.00101600812806502,0.00899497301508096,0,0.0029650296502965,0.00188699056504717,0.00148299555101335,0.0061609507123943,0.00296501482507413,0.00109299344203935,0.0307119078642764,0,0,0.029319,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Acutalibacteraceae|g__Fimenecus|s__Fimenecus sp000432435",0,0,0,0,0,0,0.0213689786310214,0.0369957410298128,0,0,0,0,0.0114339885660114,0,0,0.0018559944320167,0.0178251426011408,0.00191499425501724,0,0,0.0492707536462318,0,0.0101609187126503,0.0127680638403192,0.00347397915612506,0.000863997408007776,0,0,0.018913,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|s__Agathobacter faecis",0,0.000296002664023976,0.0019480097400487,0.0525531051062102,0.001123,0.00700297198811205,0.00627399372600627,0.0015959888280782,0,0,0,0,0.0514809485190515,0.00524302097208389,0.0105660528302642,0,0,0,0,0.000449004490044901,0.000796996015019925,0.000542998371004887,0.0110339117287062,0.00563102815514078,0.00903794577232537,0.0167069498791504,0,0,0.00388,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella sp958369755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156968744250046,0.0105410527052635,0.156559060645636,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei",0.00130899869100131,0.00125701131310182,0,0.00213500427000854,0.003268,0.00241599033603866,0,0,0,0,0,0,0.00526399473600526,0.0791683166732667,0.0665763328816644,0,0,0,0,0.00699206992069921,0.00498997505012475,0.00120099639701081,0.000335997312021504,0.00126900634503173,0,0.00235099294702116,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella intestinihominis",0,0,0,0.000984001968003936,0.003386,0.00390498438006248,0.00808899191100809,0.00410297127920105,0.00407499592500407,0.0276271657629946,0.025272,0.0145799854200146,0.0174529825470175,0.022625090500362,0.0104920524602623,0,0,0,0,0.0026520265202652,0.00695096524517377,0.00761197716406851,0.000361997104023168,0.0005800029000145,0.000886994678031932,0.00215199354401937,0,0,0.000552,0,0,0,0,0.0133170532682131
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium longum",0,0,0,0,0,0,0.00142699857300143,0.0138309031836777,0.00298699701300299,0,0,0,0.00259299740700259,0.0270921083684335,0.0213171065855329,0.00365898902303293,0.00134801078408627,0.00431798704603886,0,0.0024270242702427,0.00229098854505727,0.0573958278125166,0.00990092079263366,0.00496202481012405,0.00762795423227461,0.00115699652901041,0,0,0.012573,0,0,0,0,0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus parasanguinis_I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001988,0,0,0.0721309278690721,0.1001051001051,0
