"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Intestinibacter",0,0.000147001323011907,0.000615003075015375,0,0,0,0.000712999287000713,0.000272998089013377,0.00128799871200129,0.00293701762210573,0.000474,0.00015999984000016,0,0.00412301649206597,0.000155000775003875,0,0,0,0,0.0018420184201842,0.0008679956600217,0.00650898047305858,0.000598995208038336,0,0,0.00015999952000144,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Terrisporobacter",0,0,0.00111700558502793,0,0,0,0.00025999974000026,0.000132999069006517,0.000720999279000721,0.000311001866011196,0,0,0,0,0,0,0,0,0,0.0021940219402194,0.000614996925015375,0.0147259558221325,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492101968407874,0.0151010755053775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__COE1",0,0,0,0,0,0,7.7999922000078e-05,0,0.000292999707000293,0,0,0,0.0182979817020183,0.00035500142000568,0.000911004555022775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_B|c__Peptococcia|o__Peptococcales|f__Peptococcaceae|g__UMGS1590",0.000336999663000337,0.000564005076045684,0.00080200401002005,0,0,0,0.00248299751700248,0.00553596124827126,0.00481099518900481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351197190422477,0.00113700568502843,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__RF39|f__UBA660|g__CAG-710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019170191701917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia",0.000562999437000563,0,0.000359001795008975,0,0,0,6.999993000007e-05,0,0,0,0,0.000162999837000163,0,0,0,0.000314999055002835,0.000574004592036736,0.000318999043002871,0,0.0002690026900269,0.000254998725006375,0,0.00610895112839097,0.00229801149005745,0,0,0,0.00391498434006264,0,0.00272201361006805,0,0.000635999364000636,0.00058000058000058,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Fournierella",0,0.000733006597059374,0,0,0.001331,0,0.000108999891000109,0.000110999223005439,0,0.000269001614009684,0.00373,0.00203299796700203,9.3999906000094e-05,0,0,0,0,0,0,0.0003610036100361,0.00224998875005625,0.00122499632501102,0,0,0,0,0,0,0,0,0,0,0,0.00668402673610694
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Ventrisoma",0,0,0,7.50001500003e-05,0.00018,0,0,9.2999349004557e-05,0,0.00157700946205677,0.002564,0.00267299732700267,0,0,0,0,0,0,0,0,0,0.00260099219702341,0,0,0,0,0,0,0,0,0,0,0,0.0084310337241349
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Moryella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008826,0.00422098311606754,0,0.00241101205506028,0.000683998632002736,0.00148999851000149,0.000559000559000559,0
