"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales",0,0,0,0,0,0,0.000122999877000123,0,0.000432999567000433,0,0,0,0,0,0,0,0,0,0,0,0,9.5999712000864e-05,0,0,0,9.8999703000891e-05,0.000978,0.000801996792012832,0,0.000505002525012625,0.000236999526000948,0.00291599708400292,0.00195800195800196,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__UBA1212",0,0,0,0,0,0,0,0,0,0.000698004188025128,0.001747,0.00199199800800199,0.000367999632000368,0,0,0,0,0,0,0.001820018200182,9.799951000245e-05,0,0,0,0,0,0,0,0.00027,0,0,0,0,0
"k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria|o__Victivallales",0,0.000597005373048358,0.0001160005800029,0.00013500027000054,0.002422,0.000352998588005648,0.000573999426000574,6.3999552003136e-05,0.000463999536000464,0,0,0,0,0,0,0,0,0,0,0,0,0.000101999694000918,0,0.00126300631503158,0,0.000117999646001062,0,0,0.000401,0,0,0,0,0.000241000964003856
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138999583001251,0,0.0001970019700197,0,0.000187999436001692,0,0,0,0,0,0,0,0.0024640123200616,0,0.00125599874400126,0.00183300183300183,0
"k__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales",0,0,0,0,0,0,0,0,0.000248999751000249,0,0,0,0,0.00028000112000448,0,0,0,0,0,0,0.000172999135004325,0,0,8.1000405002025e-05,0,0,0,0,0,0,0,0.00344599655400345,0.000431000431000431,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Monoglobales",0,0.00116701050309453,0,0,0,0,0.00033999966000034,0.000118999167005831,0,0,0,0,0.0018949981050019,0,0,0,0,0,0,0.000618006180061801,0,0.000137999586001242,0,0.0003400017000085,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_B|c__Dehalobacteriia|o__UBA7702",0,0,0,0,0,0,0.00113399886600113,0.000212998509010437,0.00147399852600147,0,0,0,0,0,0,0,0,0,0,0.000494004940049401,0,6.3999808000576e-05,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_B|c__Dehalobacteriia|o__UBA4068",0,0,0,0,0.000125,0,0.000521999478000522,0.000213998502010486,0.000503999496000504,9.4000564003384e-05,0.000208,0.000238999761000239,0,0,0.000103000515002575,0,0,0,0,0.0001490014900149,5.8999705001475e-05,0,0.000298997608019136,0.000221001105005525,0,0,0,0,0.000202,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales",0,0,0,0,0,0,0,0,0,0.000194001164006984,0,0,0,0,0,0,0.000338002704021632,0,0,0.0002640026400264,0.000240998795006025,0.000513998458004626,0,0,0,0,0,0,0,0,0,0,0,0.00078000312001248
"k__Bacteria|p__Verrucomicrobiota|c__Kiritimatiellia|o__RFP12",0,0.00143801294211648,0.00039800199000995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
